,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
531,Radeon RX 460,4100,605,24.58,$166.81 
532,Radeon RX 470/570,7928,360,20.38,$388.99 
533,Radeon RX 480,8537,339,25.11,$339.99 
534,Radeon RX 550,2680,792,15.77,$169.99 
535,Radeon RX 560,3683,654,15.1,$243.93 
536,Radeon RX 570X,1923,987,6.25,$307.96 
537,Radeon RX 580,8794,335,54.97,$159.99 
538,Radeon RX 590,9303,320,16.92,$549.99 
539,Radeon RX 5500 XT,9079,328,50.08,$181.29 
540,Radeon RX 5600 XT,13428,206,43.31,$310.05 
541,Radeon RX 5700,14277,182,46.06,$309.99 
542,Radeon RX 5700 XT,16136,144,33.04,$488.33 
543,Radeon RX 6400,7742,368,36.44,$212.47 
544,Radeon RX 6500 XT,9625,304,51.36,$187.43 
545,Radeon RX 6600,15081,166,57.48,$262.39 
546,Radeon RX 6600 XT,16443,139,36.54,$449.99 
547,Radeon RX 6600M,13934,189,38.65,$360.51 
548,Radeon RX 6650 XT,17130,125,51.91,$329.99 
549,Radeon RX 6700 XT,19745,95,20.57,$959.99 
550,Radeon RX 6700M,13591,201,50.34,$269.99 
551,Radeon RX 6700S,15083,165,50.28,$299.99 
552,Radeon RX 6750 XT,20702,83,37.9,$546.29 
553,Radeon RX 6800,22035,74,50.09,$439.94 
554,Radeon RX 6800 XT,24995,48,39.06,$639.99 
555,Radeon RX 6900 XT,26712,40,17.69,"$1,509.67 "
556,Radeon RX 6950 XT,28084,29,28.57,$982.87 
557,Radeon RX 7600,16555,137,60.21,$274.99 
558,Radeon RX 7600 XT,17276,122,43.96,$392.99 
559,Radeon RX 7700 XT,22645,68,53.17,$425.90 
560,Radeon RX 7800 XT,24297,52,40.5,$599.99 
561,Radeon RX 7900 GRE,27276,33,50.51,$539.99 
562,Radeon RX 7900 XT,28965,24,41.98,$689.98 
563,Radeon RX 7900 XTX,31326,18,34.81,$899.99 
564,Radeon RX 9060 XT 8GB,19889,94,64.16,$309.99 
565,Radeon RX 9060 XT 16GB,20027,91,50.07,$399.99 
566,Radeon RX 9070,25427,44,40.34,$630.33 
567,Radeon RX 9070 XT,26867,38,37.32,$719.99 
568,Radeon RX Vega 11,2090,933,2.09,"$1,002.00 "
569,Radeon RX Vega 56,13007,218,17.27,$752.99 
570,Radeon RX Vega 64,13916,190,18.56,$749.99 
571,Radeon Vega 3,891,1423,0.33,"$2,677.99 "
572,Radeon Vega 6,1308,1213,0.73,"$1,799.99 "
573,Radeon Vega 8,1568,1131,12.36,$126.86 
574,Radeon Vega Frontier Edition,12707,224,7.56,"$1,679.99 "
575,Radeon VII,16263,141,8.56,"$1,899.95 "
576,RADEON X600 PRO,67,2454,0.42,$160.49 
577,RADEON X600 SE,49,2507,0.87,$56.18 
578,Radeon X1300,58,2477,0.61,$95.78 
579,Radeon X1550,66,2458,0.43,$155.00 
580,Radeon X1650 Pro,84,2399,0.53,$160.89 
581,RTX A400,5992,447,28,$213.99 
582,RTX A1000,10804,277,20.78,$519.99 
583,RTX A2000,13424,207,23.35,$574.99 
584,RTX A4000,19471,99,18.67,"$1,042.99 "
585,RTX A4500,21112,80,12.06,"$1,749.99 "
586,RTX A5000,22961,62,10.3,"$2,229.99 "
587,RTX A5500,21334,79,9.83,"$2,169.99 "
588,RTX A6000,22798,64,5.55,"$4,109.99 "
589,T400,3619,659,23.82,$151.99 
590,T600,6368,424,26.54,$239.99 
591,T1000,7642,377,14.57,$524.53 
592,Tesla C2050,3175,717,11.76,$269.99 
593,Tesla C2070,3120,729,5.17,$604.00 
594,Tesla C2075,3016,744,4.67,$646.00 
595,Tesla K20Xm,4403,587,0.57,"$7,699.00 "
596,Tesla K80,5688,466,9.58,$593.95 
597,Tesla M6,6224,433,31.28,$199.00 
598,Tesla M10,3199,716,1.19,"$2,695.00 "
599,Tesla M40,10219,287,17.03,$600.00 
600,Tesla M60,7002,394,8.89,$787.90 
601,Tesla P100-PCIE-16GB,11813,252,2.07,"$5,699.00 "
602,Tesla T4,10152,290,2.27,"$4,466.65 "
603,TITAN RTX,20116,89,8.05,"$2,499.00 "
604,TITAN V,20065,90,10.03,"$1,999.99 "
