,video_card_name,pasmark_gd3_mark,rank,videocard_value,price_usd
128,FirePro R5000,2646,794,24.06,$109.99*
129,FirePro RG220,335,2010,0.52,$650.18*
130,FirePro S7000,4523,570,18.35,$246.54*
131,FirePro S7150,3770,641,2.22,"$1,697.99*"
132,FirePro S9000,5059,525,NA,NA
133,FirePro S9050,4901,540,NA,NA
134,FirePro S10000,4537,568,NA,NA
135,FirePro V3800,320,2028,2.57,$124.99*
136,FirePro V3900,630,1674,2.64,$238.44*
137,FirePro V4900,1003,1350,6.69,$149.99*
138,FirePro V5700,464,1894,2.47,$188.06*
139,FirePro V5800,1184,1262,22.35,$53.00*
140,FirePro V5900,1232,1241,14.33,$86.00*
141,FirePro V7000,3161,722,NA,NA
142,FirePro V7800,2028,950,10.68,$190.00*
143,FirePro V7900,2260,882,11.90,$190.00*
144,FirePro V8700,1538,1143,9.75,$157.88*
145,FirePro V8800,2280,874,11.52,$198.00*
146,FirePro V9800,2726,781,5.75,$474.00*
147,FirePro W600,1694,1069,4.08,$414.99*
148,FirePro W2100,849,1452,14.39,$59.00*
149,FirePro W4100,1488,1160,8.09,$184.00*
150,FirePro W4170M,1049,1327,NA,NA
151,Firepro W4190M,1177,1264,NA,NA
152,FirePro W4300,2717,784,11.32,$239.99*
153,FirePro W5000,2967,748,16.13,$184.00*
154,FirePro W5100,2972,747,23.60,$125.99*
155,FirePro W5130M,1426,1182,NA,NA
156,Firepro W5170M,1781,1044,NA,NA
157,FirePro W6150M,2358,849,NA,NA
158,FirePro W7000,4315,595,15.52,$278.05*
159,FirePro W7000 Adapter,4382,589,NA,NA
160,FirePro W7100,5034,529,12.93,$389.30*
161,FirePro W7170M,3693,649,NA,NA
162,FirePro W8000,4259,600,7.43,$573.00*
163,FirePro W8100,6812,399,9.68,$704.00*
164,FirePro W9000,6144,439,7.27,$845.00*
165,FirePro W9100,7747,367,4.48,"$1,729.99*"
166,FireStream 9170,647,1650,NA,NA
167,FireStream 9250,1164,1273,NA,NA
168,FireStream 9270,1341,1205,NA,NA
169,FireStream 9370,2528,822,NA,NA
170,GameViewer Virtual Display Adapter,14843,173,NA,NA
171,GeCube RADEON 7000,8,2665,NA,NA
172,GeForce2 Go,4,2742,NA,NA
173,GeForce2 GTS/GeForce2 Pro,3,2747,NA,NA
174,GeForce2 Integrated GPU,4,2737,NA,NA
175,GeForce2 MX,2,2785,NA,NA
176,GeForce2 MX 100/200,3,2771,NA,NA
177,GeForce2 MX with DVI-D and TV-out,4,2721,NA,NA
178,GeForce2 MX with TV Out,2,2793,NA,NA
179,GeForce2 MX/MX 400,3,2749,NA,NA
180,GeForce2 Ti,4,2729,NA,NA
181,GeForce2 Ultra,6,2688,NA,NA
182,GeForce3,4,2718,NA,NA
183,GeForce3 Ti 200,4,2744,NA,NA
184,GeForce3 Ti 500,2,2795,NA,NA
185,GeForce4 420 Go,3,2768,NA,NA
186,GeForce4 420 Go 32M,5,2708,NA,NA
187,GeForce4 440,4,2715,NA,NA
188,GeForce4 440 Go,3,2755,NA,NA
189,GeForce4 440 Go 64M,5,2694,NA,NA
190,GeForce4 448 Go,5,2705,NA,NA
191,GeForce4 4200 Go,3,2748,NA,NA
192,GeForce4 MX 420,4,2722,NA,NA
193,GeForce4 MX 440,4,2732,NA,NA
194,GeForce4 MX 440 with AGP8X,4,2719,NA,NA
195,GeForce4 MX 440SE,4,2731,NA,NA
